"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"VISESHINFO","Visesh Infotecnics Limited","EQ","Face Value Split From Rs 10 To Re 1","1","03-Jan-2013","04-Jan-2013","-","-"
"SHARONBIO","Sharon Bio-Medicine Limited","EQ","Dividend Of Rs 1.80/- Per Share","2","03-Jan-2013","-","07-Jan-2013","08-Jan-2013"
"NELCO","NELCO Limited","EQ","Annual General Meeting/Dividend Re 0.50 Per Share","10","04-Jan-2013","-","08-Jan-2013","10-Jan-2013"
"CHESLINTEX","Cheslind Textiles Limited","EQ","Annual General Meeting","10","15-Jan-2013","-","17-Jan-2013","21-Jan-2013"
"SIEMENS","Siemens Limited","EQ","Annual General Meeting / Dividend Rs. 6/- Per Share","2","16-Jan-2013","-","18-Jan-2013","31-Jan-2013"
"MPHASIS","MphasiS Limited","EQ","Annual General Meeting/Dividend Rs.17 Per Share","10","17-Jan-2013","-","21-Jan-2013","01-Feb-2013"
"RSSOFTWARE","R. S. Software (India) Limited","EQ","Interim Dividend Rs.1.50 Per Share","5","17-Jan-2013","18-Jan-2013","-","-"
"CHEMFALKAL","Chemfab Alkalis Limited","EQ","Interim Dividend Rs.5.00 Per Share","5","17-Jan-2013","18-Jan-2013","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend Of Rs 2/- Per Equity Share (Purpose Revised)","2","21-Jan-2013","22-Jan-2013","-","-"
"VARUNSHIP","Varun Shipping Company Limited","EQ","Annual General Meeting/Dividend Re 0.50 Per Share","10","22-Jan-2013","-","24-Jan-2013","04-Feb-2013"
"WALCHANNAG","Walchandnagar Industries Limited","EQ","Annual General Meeting / Dividend Re 1 Per Share","2","23-Jan-2013","-","25-Jan-2013","31-Jan-2013"
"AJRINFRA","AJR INFRA AND TOLLING LIMITED","EQ","Bonus 1:34","2","23-Jan-2013","24-Jan-2013","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend 3 Per Share","1","23-Jan-2013","24-Jan-2013","-","-"
"XLENERGY","XL Energy Limited","EQ","Annual General Meeting","10","23-Jan-2013","-","27-Jan-2013","04-Feb-2013"
"BAJFINANCE","Bajaj Finance Limited","EQ","Rights 3:19 @ Premium Rs 1090 Per Share","2","23-Jan-2013","25-Jan-2013","-","-"
"BAJAJCON","Bajaj Consumer Care Limited","EQ","Interim Dividend Rs 6.50 Per Share","1","23-Jan-2013","25-Jan-2013","-","-"
"WIPRO","Wipro Limited","EQ","Interim Dividend Rs 2 Per Share (Purpose Revised)","2","23-Jan-2013","25-Jan-2013","-","-"
"OIL","Oil India Limited","EQ","Interim Dividend Rs 11 Per Share","10","23-Jan-2013","24-Jan-2013","-","-"
"20MICRONS","20 Microns Limited","EQ","Face Value Split Rs 10 To Rs 5","5","28-Jan-2013","29-Jan-2013","-","-"
"SUPREMEIND","Supreme Industries Limited","EQ","Interim Dividend Rs 2 Per Share (Purpose Revised)","2","28-Jan-2013","29-Jan-2013","-","-"
"SUNTV","Sun TV Network Limited","EQ","Interim Dividend Rs 2.50 Per Share (Purpose Revised)","5","28-Jan-2013","29-Jan-2013","-","-"
"MRF","MRF Limited","EQ","Annual General Meeting/Dividend Rs 19 Per Share","10","30-Jan-2013","-","01-Feb-2013","07-Feb-2013"
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","EQ","Interim Dividend Rs 2.50 Per Share","2","30-Jan-2013","31-Jan-2013","-","-"
"DBCORP","D.B.Corp Limited","EQ","Interim Dividend Rs 2 Per Share","10","30-Jan-2013","31-Jan-2013","-","-"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","1","30-Jan-2013","31-Jan-2013","-","-"
"PERSISTENT","Persistent Systems Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","5","31-Jan-2013","-","02-Feb-2013","02-Feb-2013"
"ZENSARTECH","Zensar Technologies Limited","EQ","Interim Dividend Rs 3.50 Per Share","2","31-Jan-2013","01-Feb-2013","-","-"
"RBL","Rane Brake Lining Limited","EQ","Interim Dividend 2 Per Share","10","31-Jan-2013","01-Feb-2013","-","-"
"DHANI","Dhani Services Limited","EQ","2nd Interim Dividend Re 1 Per Share","2","31-Jan-2013","01-Feb-2013","-","-"
"BAJAJHIND","Bajaj Hindusthan Sugar Limited","EQ","Annual General Meeting/Dividend Re 0.10 Per Share","1","31-Jan-2013","-","02-Feb-2013","14-Feb-2013"
"AUTOAXLES","Automotive Axles Limited","EQ","Annual General Meeting/Dividend Rs 10 Per Share","10","31-Jan-2013","-","04-Feb-2013","06-Feb-2013"
"RML","Rane (Madras) Limited","EQ","Interim Dividend Rs 2 Per Share","10","31-Jan-2013","02-Feb-2013","-","-"
"SANDESH","The Sandesh Limited","EQ","Buyback- Tender Offer","10","31-Jan-2013","01-Feb-2013","-","-"
"APTECHT","Aptech Limited","EQ","Interim Dividend Rs 1.50 Per Share","10","31-Jan-2013","01-Feb-2013","-","-"
"TCI","Transport Corporation of India Limited","EQ","Interim Dividend Re 0.40 Per Share (Purpose Revised)","2","01-Feb-2013","04-Feb-2013","-","-"
"TORNTPHARM","Torrent Pharmaceuticals Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","5","01-Feb-2013","04-Feb-2013","-","-"
"GANDHITUBE","Gandhi Special Tubes Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","5","01-Feb-2013","04-Feb-2013","-","-"
"KANANIIND","Kanani Industries Limited","EQ","Bonus 1:10","1","01-Feb-2013","-","05-Feb-2013","05-Feb-2013"
"INDIABULLS","Indiabulls Financial Services Limited","EQ","Interim Dividend Rs 5.50 Per Share","2","01-Feb-2013","04-Feb-2013","-","-"
"PFC","Power Finance Corporation Limited","EQ","Interim Dividend Rs 6 Per Share  (Purpose Revised)","10","04-Feb-2013","05-Feb-2013","-","-"
"BANARBEADS","Banaras Beads Limited","EQ","Interim Dividend  Rs 2.50 Per Share (Purpose Revised)","10","04-Feb-2013","05-Feb-2013","-","-"
"IIFL","IIFL Finance Limited","EQ","Interim Dividend Rs 3 Per Share (Purpose Revised)","2","04-Feb-2013","05-Feb-2013","-","-"
"EIDPARRY","EID Parry India Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","1","05-Feb-2013","06-Feb-2013","-","-"
"IDFC","IDFC Limited","H5","Interest Payment","5000","05-Feb-2013","06-Feb-2013","-","-"
"HIL","HIL Limited","EQ","Interim Dividend Rs 7.50 Per Share","10","05-Feb-2013","06-Feb-2013","-","-"
"BHEL","Bharat Heavy Electricals Limited","EQ","Interim Dividend Rs 2.12 Per Share (Purpose Revised)","2","05-Feb-2013","06-Feb-2013","-","-"
"TVSMOTOR","TVS Motor Company Limited","EQ","Interim Dividend Re 0.60 Per Share (Purpose Revised)","1","06-Feb-2013","07-Feb-2013","-","-"
"SIGNETIND","Signet Industries Limited","EQ","Interim Dividend @ 12% On Equity Shares.","10","06-Feb-2013","07-Feb-2013","-","-"
"GRAVITA","Gravita India Limited","EQ","Interim Dividend Re 0.30 Per Share","2","06-Feb-2013","07-Feb-2013","-","-"
"EDELWEISS","Edelweiss Financial Services Limited","EQ","Interim Dividend Re 0.55 Per Share","1","06-Feb-2013","07-Feb-2013","-","-"
"TIRUMALCHM","Thirumalai Chemicals Limited","EQ","Interim Dividend Rs 5 Per Share (Purpose Revised)","1","07-Feb-2013","08-Feb-2013","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","Interim Dividend Re 1 Per Share (Purpose Revised)","1","07-Feb-2013","08-Feb-2013","-","-"
"LGBBROSLTD","LG Balakrishnan & Bros Limited","EQ","Interim Dividend Rs.5.50 Per Share","10","07-Feb-2013","08-Feb-2013","-","-"
"63MOONS","63 moons technologies limited","EQ","Interim Dividend Rs 2 Per Share (Purpose Revised)","2","07-Feb-2013","08-Feb-2013","-","-"
"SURYAROSNI","Surya Roshni Limited","EQ","2nd Interim Dividend Re 1 Per Share (Purpose Revised)","5","08-Feb-2013","11-Feb-2013","-","-"
"RECLTD","REC Limited","EQ","Interim Dividend Rs 6.75 Per Share (Purpose Revised)","10","08-Feb-2013","11-Feb-2013","-","-"
"AVTNPL","AVT Natural Products Limited","EQ","Interim Dividend Re 0.50 Per Share","1","08-Feb-2013","11-Feb-2013","-","-"
"SHRIASTER","Shri Aster Silicates Limited","EQ","Annual General Meeting","10","11-Feb-2013","-","13-Feb-2013","15-Feb-2013"
"AARTIIND","Aarti Industries Limited","EQ","Interim Dividend Re 1.25 Per Share (Purpose Revised)","5","11-Feb-2013","12-Feb-2013","-","-"
"IRB","IRB Infrastructure Developers Limited","EQ","Interim Dividend  Re 1 Per Share (Purpose Revised)","1","11-Feb-2013","12-Feb-2013","-","-"
"CUMMINSIND","Cummins India Limited","EQ","Interim Dividend Rs 5 Per Share","2","11-Feb-2013","12-Feb-2013","-","-"
"AARTIDRUGS","Aarti Drugs Limited","EQ","Interim Dividend  Rs 3 Per Share (Purpose Revised)","10","11-Feb-2013","12-Feb-2013","-","-"
"CONCOR","Container Corporation of India Limited","EQ","Interim Dividend Rs 8 Per Share","5","11-Feb-2013","12-Feb-2013","-","-"
"ASHOKA","Ashoka Buildcon Limited","EQ","Interim Dividend Rs 2 Per Share","5","11-Feb-2013","12-Feb-2013","-","-"
"GREAVESCOT","Greaves Cotton Limited","EQ","3rd Interim Dividend Re 0.40 Per Share","2","11-Feb-2013","12-Feb-2013","-","-"
"PRADIP","Pradip Overseas Limited","EQ","Bonus 1:5","10","12-Feb-2013","13-Feb-2013","-","-"
"TUBEINVEST","Tube Investments of India Limited","EQ","Interim Dividend Rs 1.50 Per Share","2","12-Feb-2013","13-Feb-2013","-","-"
"TRIVENI","Triveni Engineering & Industries Limited","EQ","Annual General Meeting / Dividend Re 0.10 Per Share","1","12-Feb-2013","-","14-Feb-2013","19-Feb-2013"
"TVSHLTD","TVS Holdings Limited","EQ","Interim Dividend Rs 9 Per Share (Purpose Revised)","5","13-Feb-2013","14-Feb-2013","-","-"
"BSLIMITED","BS Limited","EQ","Interim Dividend Re 1 Per Share","1","13-Feb-2013","14-Feb-2013","-","-"
"CARBORUNIV","Carborundum Universal Limited","EQ","Interim Dividend Re 0.50 Per Share","1","14-Feb-2013","15-Feb-2013","-","-"
"MOIL","MOIL Limited","EQ","Interim Dividend Rs 2 Per Share (Purpose Revised)","10","14-Feb-2013","15-Feb-2013","-","-"
"RANEHOLDIN","Rane Holdings Limited","EQ","Interim Dividend Rs 3.50 Per Share","10","14-Feb-2013","16-Feb-2013","-","-"
"SUPRAJIT","Suprajit Engineering Limited","EQ","Interim Dividend Re 0.35 Per Share","1","14-Feb-2013","15-Feb-2013","-","-"
"SUNDARMFIN","Sundaram Finance Limited","EQ","Interim Dividend Rs 4.50 Per Share (Purpose Revised)","10","14-Feb-2013","15-Feb-2013","-","-"
"MAYURUNIQ","Mayur Uniquoters Ltd","EQ","Interim Dividend Rs 2.25 Per Share (Purpose Revised)","5","14-Feb-2013","16-Feb-2013","-","-"
"IL&FSENGG","IL&FS Engineering and Construction Company Limited","EQ","Annual General Meeting","10","14-Feb-2013","-","18-Feb-2013","22-Feb-2013"
"KPRMILL","K.P.R. Mill Limited","EQ","Interim Dividend Rs 3 Per Share (Purpose Revised)","1","14-Feb-2013","15-Feb-2013","-","-"
"SELAN","Selan Exploration Technology Limited","EQ","Interim Dividend Rs 5 Per Share (Purpose Revised)","10","14-Feb-2013","16-Feb-2013","-","-"
"OCL","OCL India Limited","EQ","Interim Dividend Rs 2.50 Per Share","2","14-Feb-2013","15-Feb-2013","-","-"
"M&MFIN","Mahindra & Mahindra Financial Services Limited","EQ","Face Value Split Rs 10 To Rs 2","2","15-Feb-2013","18-Feb-2013","-","-"
"POWERGRID","Power Grid Corporation of India Limited","EQ","Interim Dividend Rs 1.61 Per Share (Purpose Revised)","10","15-Feb-2013","19-Feb-2013","-","-"
"SAIL","Steel Authority of India Limited","EQ","Interim Dividend Rs 1.60 Per Share (Purpose Revised)","10","15-Feb-2013","18-Feb-2013","-","-"
"INDNIPPON","India Nippon Electricals Limited","EQ","Interim Dividend Rs 4 Per Share","5","15-Feb-2013","19-Feb-2013","-","-"
"JMFINANCIL","JM Financial Limited","EQ","Interim Dividend Re 0.40 Per Share","1","15-Feb-2013","19-Feb-2013","-","-"
"RAMCOIND","Ramco Industries Limited","EQ","Interim Dividend Re 0.90 Per Share (Purpose Revised)","1","15-Feb-2013","19-Feb-2013","-","-"
"ALOKTEXT","Alok Industries Limited","EQ","Rights - 2:3@ Par Rs 10 Per Share","10","15-Feb-2013","19-Feb-2013","-","-"
"DHANUKA","Dhanuka Agritech Limited","EQ","Interim Dividend Rs 1.50 Per Share (Purpose Revised)","2","15-Feb-2013","19-Feb-2013","-","-"
"IMPAL","India Motor Parts and Accessories Limited","EQ","Interim Dividend Rs 6.50 Per Share (Purpose Revised)","10","15-Feb-2013","18-Feb-2013","-","-"
"RAMCOCEM","The Ramco Cements Limited","EQ","Interim Dividend Rs 1 Per Share (Purpose Revised)","1","15-Feb-2013","19-Feb-2013","-","-"
"AEGISCHEM","Aegis Logistics Limited","EQ","Interim Dividend Rs 1.75 Per Share","1","15-Feb-2013","19-Feb-2013","-","-"
"GAIL","GAIL (India) Limited","EQ","Interim Dividend Rs 4 Per Share (Purpose Revised)","10","18-Feb-2013","20-Feb-2013","-","-"
"AMBUJACEM","Ambuja Cements Limited","EQ","Dividend Rs 2.20 Per Sahre","2","18-Feb-2013","-","21-Feb-2013","28-Feb-2013"
"AUROPHARMA","Aurobindo Pharma Limited","EQ","Interim Dividend Re 1 Per Share","1","18-Feb-2013","20-Feb-2013","-","-"
"GESHIP","The Great Eastern Shipping Company Limited","EQ","Interim Dividend Rs 3 Per Share","10","18-Feb-2013","20-Feb-2013","-","-"
"PAGEIND","Page Industries Limited","EQ","Interim Dividend Rs 14 Per Share (Purpose Revised)","10","20-Feb-2013","21-Feb-2013","-","-"
"ADVANIHOTR","Advani Hotels & Resorts (India) Limited","EQ","Interim Dividend Of Rs 0.26/- Per Share","2","21-Feb-2013","22-Feb-2013","-","-"
"EROSMEDIA","Eros International Media Limited","EQ","Interim Dividend Re 1.50 Per Share","10","21-Feb-2013","22-Feb-2013","-","-"
"ZODIACLOTH","Zodiac Clothing Company Limited","EQ","Interim Dividend Rs 1.50 Per Share","10","21-Feb-2013","23-Feb-2013","-","-"
"AMRUTANJAN","Amrutanjan Health Care Limited","EQ","Interim Dividend Of Re. 1/- Per Share","1","21-Feb-2013","22-Feb-2013","-","-"
"PRECWIRE","Precision Wires India Limited","EQ","Interim Dividend Rs 2.50 Per Share","1","21-Feb-2013","22-Feb-2013","-","-"
"STERTOOLS","Sterling Tools Limited","EQ","Interim Dividend Rs 5 Per Share (Purpose Revised)","2","21-Feb-2013","23-Feb-2013","-","-"
"NATCOPHARM","Natco Pharma Limited","EQ","Interim Dividend Rs 4 Per Share","2","22-Feb-2013","25-Feb-2013","-","-"
"KOUTONS","Koutons Retail India Limited","EQ","Annual General Meeting","10","25-Feb-2013","-","27-Feb-2013","08-Mar-2013"
"BLISSGVS","Bliss GVS Pharma Limited","EQ","Interim Dividend Rs 0.30 Per Share","1","25-Feb-2013","26-Feb-2013","-","-"
"GOLDIAM","Goldiam International Limited","EQ","Interim Dividend Re 1 Per Share","2","25-Feb-2013","26-Feb-2013","-","-"
"KKCL","Kewal Kiran Clothing Limited","EQ","Interim Dividend 6.50 Per Share","10","25-Feb-2013","26-Feb-2013","-","-"
"SRF","SRF Limited","EQ","Interim Dividend Rs 5 Per Share","10","25-Feb-2013","26-Feb-2013","-","-"
"HITECHGEAR","The Hi-Tech Gears Limited","EQ","Interim Dividend Re 1 Per Share","10","25-Feb-2013","26-Feb-2013","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend Rs 12.50 Per Share","1","25-Feb-2013","26-Feb-2013","-","-"
"TAKE","Take Solutions Limited","EQ","Interim Dividend Re 0.30 Per Share","1","25-Feb-2013","26-Feb-2013","-","-"
"VTMLTD","VTM Limited","EQ","Interim Div. Of Re. 0.70/- Per Equity Share Re.1/- Each","1","26-Feb-2013","27-Feb-2013","-","-"
"MPSLTD","MPS Limited","EQ","Interim Dividend Rs 5 Per Share","10","26-Feb-2013","27-Feb-2013","-","-"
"VKSPL","VKS Projects Limited","EQ","Face Value Split From Rs 10 To Re 1","1","27-Feb-2013","28-Feb-2013","-","-"
"RAJPALAYAM","Rajapalayam Mills Limited","EQ","Interim Div. Of Rs.5/- Per Share Of Rs. 10/- Each.","10","27-Feb-2013","28-Feb-2013","-","-"
"UNITEDTEA","The United Nilgiri Tea Estates Company Limited","EQ","Interim Dividend Re.1/- Per Share","10","27-Feb-2013","28-Feb-2013","-","-"
"NMDC","NMDC Limited","EQ","Interim Dividend Re 1 Per Share","1","28-Feb-2013","01-Mar-2013","-","-"
"KSCL","Kaveri Seed Company Limited","EQ","Interim Dividend Rs 8 Per Share","2","28-Feb-2013","01-Mar-2013","-","-"
"JEYPORE","The Jeypore Sugar Company Limited","EQ","Annual General Meeting/ Dividend Rs. 2.50/- Per Equity Share Of Rs.10/- Each","10","28-Feb-2013","-","04-Mar-2013","18-Mar-2013"
"NTPC","NTPC Limited","EQ","Interim Dividend Rs.3.75 Per Share (Purpose Revised)","10","01-Mar-2013","04-Mar-2013","-","-"
"RAJRAYON","Raj Rayon Industries Limited","EQ","Face Value Split From Rs 10 To Re 1","1","04-Mar-2013","05-Mar-2013","-","-"
"JCHAC","Johnson Controls - Hitachi Air Conditioning India Limited","EQ","Rights 1:5 @ Premium Rs.120 Per Share","10","05-Mar-2013","06-Mar-2013","-","-"
"IDFC","IDFC Limited","HB","Interest Payment","5000","05-Mar-2013","06-Mar-2013","-","-"
"VISESHINFO","Visesh Infotecnics Limited","EQ","Bonus 1 : 10","1","07-Mar-2013","08-Mar-2013","-","-"
"BHARATFORG","Bharat Forge Limited","EQ","Interim Dividend Re 1 Per Share","2","07-Mar-2013","08-Mar-2013","-","-"
"ORIENTPPR","Orient Paper & Industries Limited","EQ","Scheme Of Arrangement","1","07-Mar-2013","09-Mar-2013","-","-"
"21STCENMGM","21st Century Management Services Limited","EQ","Annual General Meeting","10","07-Mar-2013","-","11-Mar-2013","14-Mar-2013"
"CARERATING","CARE Ratings Limited","EQ","Interim Dividend Rs 12 Per Share","10","07-Mar-2013","08-Mar-2013","-","-"
"DWARKESH","Dwarikesh Sugar Industries Limited","EQ","Annual General Meeting","1","07-Mar-2013","-","11-Mar-2013","22-Mar-2013"
"ESCORTS","Escorts Kubota Limited","EQ","Annual General Meeting/Dividend Rs 1.20 Per Share","10","07-Mar-2013","-","09-Mar-2013","22-Mar-2013"
"NLCINDIA","NLC India Limited","EQ","Interim Dividend Re 1 Per Share","10","11-Mar-2013","12-Mar-2013","-","-"
"CRISIL","CRISIL Limited","EQ","Annual General Meeting/Dividend Rs 4 Per Share","1","12-Mar-2013","-","14-Mar-2013","15-Mar-2013"
"GDL","Gateway Distriparks Limited","EQ","Interim Dividend Rs 3 Per Share (Purpose Revised)","10","13-Mar-2013","14-Mar-2013","-","-"
"EICHERMOT","Eicher Motors Limited","EQ","Annual General Meeting/Dividend Rs 20 Per Share","1","13-Mar-2013","-","15-Mar-2013","22-Mar-2013"
"KMSUGAR","K.M.Sugar Mills Limited","EQ","Annual General Meeting","2","14-Mar-2013","-","18-Mar-2013","22-Mar-2013"
"INDIAGLYCO","India Glycols Limited","EQ","Interim Dividend Rs 4 Per Share","10","14-Mar-2013","16-Mar-2013","-","-"
"STAN","Standard Chartered PLC","DR","Dividend",,"14-Mar-2013","15-Mar-2013","-","-"
"IDFC","IDFC Limited","HD","Interest Payment","5000","14-Mar-2013","15-Mar-2013","-","-"
"ELAND","E-Land Apparel Limited","EQ","Annual General Meeting","10","14-Mar-2013","-","18-Mar-2013","22-Mar-2013"
"ENGINERSIN","Engineers India Limited","EQ","Interim Dividend Rs.3 Per Share (Purpose Revised)","5","18-Mar-2013","19-Mar-2013","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend Rs 9.70 Per Share (Purpose Revised)","10","18-Mar-2013","19-Mar-2013","-","-"
"HELIOSMATH","Helios And Matheson Information Technology Limited","EQ","Annual General Meeting/Dividend Rs 1.80 Per Share","10","19-Mar-2013","-","21-Mar-2013","25-Mar-2013"
"ZENITHINFO","Zenith Infotech Limited","EQ","Annual General Meeting","10","19-Mar-2013","-","21-Mar-2013","28-Mar-2013"
"GSKCONS","GlaxoSmithKline Consumer Healthcare Limited","EQ","Annual General Meeting/Dividend Rs 45 Per Share","10","19-Mar-2013","-","21-Mar-2013","09-Apr-2013"
"ARIHANT","Arihant Foundations & Housing Limited","EQ","Annual General Meeting And Dividend Re. 1/- Share","10","20-Mar-2013","-","22-Mar-2013","29-Mar-2013"
"GEOJITFSL","Geojit Financial Services Limited","EQ","Interim Dividend Re.0.75 Per Share (Purpose Revised)","1","20-Mar-2013","21-Mar-2013","-","-"
"PEPL","Pearl Engineering Polymers Limited","EQ","Annual General Meeting","10","21-Mar-2013","-","25-Mar-2013","29-Mar-2013"
"FOSECOIND","Foseco India Limited","EQ","Annual General Meeting And Dividend Rs.7/- Per Share","10","21-Mar-2013","-","23-Mar-2013","29-Mar-2013"
"KSOILS","K S Oils Limited","EQ","Annual General Meeting","1","21-Mar-2013","-","25-Mar-2013","30-Mar-2013"
"PARRYSUGAR","Parrys Sugar Industries Limited","EQ","Scheme Of Arrangement","10","21-Mar-2013","22-Mar-2013","-","-"
"RASOYPR","Rasoya Proteins Limited","EQ","Bonus 2:1 / Face Value Split From Rs. 5/- To Re. 1/-","1","21-Mar-2013","22-Mar-2013","-","-"
"OIL","Oil India Limited","EQ","Second Interim Dividend Rs.12/- Share (Purpose Revised)","10","21-Mar-2013","22-Mar-2013","-","-"
"LAKSHMIEFL","Lakshmi Energy and Foods Limited","EQ","Annual General Meeting/Dividend Re 0.20 Per Share","2","21-Mar-2013","-","23-Mar-2013","28-Mar-2013"
"DCHL","Deccan Chronicle Holdings Limited","EQ","Annual General Meeting","2","21-Mar-2013","-","25-Mar-2013","28-Mar-2013"
"ACC","ACC Limited","EQ","Annual General Meeting/Dividend Rs 19 Per Share","10","21-Mar-2013","-","23-Mar-2013","05-Apr-2013"
"OMINFRAL","OM INFRA LIMITED","EQ","Interim Dividend Re. 0.10 Per Share","1","22-Mar-2013","25-Mar-2013","-","-"
"MANAPPURAM","Manappuram Finance Limited","EQ","Interim Dividend Rs. 1.50 Per Share","2","22-Mar-2013","25-Mar-2013","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Second Interim Dividend Rs.4 Per Share (Purpose Revised)","5","22-Mar-2013","25-Mar-2013","-","-"
"MYSOREBANK","State Bank of Mysore","EQ","Interim Dividend Rs 11.50 Per Share (Purpose Revised)","10","22-Mar-2013","25-Mar-2013","-","-"
"GODREJCP","Godrej Consumer Products Limited","EQ","Annual Book Closure","1","25-Mar-2013","-","28-Mar-2013","28-Mar-2013"
"IDFC","IDFC Limited","H7","Interest Payment","5000","25-Mar-2013","26-Mar-2013","-","-"
"BFUTILITIE","BF Utilities Limited","EQ","Annual General Meeting","5","26-Mar-2013","-","30-Mar-2013","30-Mar-2013"
"BILENERGY","Bil Energy Systems Limited","EQ","Face Value Split From Rs.10/- To Re. 1/-","1","26-Mar-2013","28-Mar-2013","-","-"
"SBBJ","State Bank of Bikaner and Jaipur","EQ","Interim Dividend Rs.16.10 Per Share (Purpose Revised)","10","26-Mar-2013","29-Mar-2013","-","-"
"SCHAEFFLER","Schaeffler India Limited","EQ","Dividend Rs.5 Per Share","2","26-Mar-2013","-","02-Apr-2013","06-Apr-2013"
"RUCHIRA","Ruchira Papers Limited","EQ","Interim Dividend Re.1 Per Share (Purpose Revised)","10","26-Mar-2013","30-Mar-2013","-","-"
"NATIONALUM","National Aluminium Company Limited","EQ","Interim Dividend Re.0.75 Per Share (Purpose Revised)","5","26-Mar-2013","28-Mar-2013","-","-"
"HEXAWARE","Hexaware Technologies Limited","EQ","Annual General Meeting/Dividend Rs 1.20 Per Share","2","26-Mar-2013","-","01-Apr-2013","05-Apr-2013"
"SBT","State Bank of Travancore","EQ","Interim Dividend Rs.17/- Per Share (Purpose Revised)","10","26-Mar-2013","28-Mar-2013","-","-"
"DICIND","DIC India Limited","EQ","Annual General Meeting/Dividend Rs 4 Per Share","10","02-Apr-2013","-","04-Apr-2013","12-Apr-2013"
"COLPAL","Colgate Palmolive (India) Limited","EQ","Interim Dividend Rs.9 Per Share (Purpose Revised)","1","04-Apr-2013","05-Apr-2013","-","-"
"GLAXO","GlaxoSmithKline Pharmaceuticals Limited","EQ","Dividend Rs. 50 Per Share","10","04-Apr-2013","-","08-Apr-2013","16-Apr-2013"
"SANOFI","Sanofi India Limited","EQ","Annual General Meeting/Dividend Rs 29 Per Share","10","05-Apr-2013","-","09-Apr-2013","30-Apr-2013"
"WIPRO","Wipro Limited","EQ","Scheme Of Arrangement","2","09-Apr-2013","11-Apr-2013","-","-"
"SPYL","Shekhawati Poly-Yarn Limited","EQ","Face Value Split From Rs.10 To Re.1","1","10-Apr-2013","12-Apr-2013","-","-"
"ANSALHSG","Ansal Housing Limited","EQ","Bonus 2:1","10","10-Apr-2013","12-Apr-2013","-","-"
"STYRENIX","Styrenix Performance Materials Limited","EQ","Annual General Meeting/ Dividend Rs.4.00 Per Share","10","10-Apr-2013","-","15-Apr-2013","19-Apr-2013"
"HEUBACHIND","Heubach Colorants India Limited","EQ","Annual General Meeting/Dividend Rs 17.50 Per Share","10","12-Apr-2013","-","16-Apr-2013","26-Apr-2013"
"PIIND","PI Industries Limited","EQ","Face Value Split From Rs.5/- Per Share To Re.1/- Per Share","1","12-Apr-2013","15-Apr-2013","-","-"
"HONAUT","Honeywell Automation India Limited","EQ","Annual General Meeting / Dividend Rs 10 Per Share","10","12-Apr-2013","-","16-Apr-2013","23-Apr-2013"
"CASTROL","Castrol India Limited","EQ","Dividend Rs 3.50 Per Share","10","12-Apr-2013","-","16-Apr-2013","26-Apr-2013"
"RAIN","Rain Industries Limited","EQ","Annual General Meeting/ Dividend Of Rs.1.10 Per Share","2","16-Apr-2013","-","18-Apr-2013","27-Apr-2013"
"ABBOTINDIA","Abbott India Limited","EQ","Annual General Meeting And Dividend Rs.17 Per Share","10","16-Apr-2013","-","18-Apr-2013","25-Apr-2013"
"VESUVIUS","Vesuvius India Limited","EQ","Annual General Meeting/ Dividend Rs. 4.50 Per Share","10","16-Apr-2013","-","18-Apr-2013","25-Apr-2013"
"FELDVR","Future Enterprises Limited","EQ","Scheme Of Arrangement","2","17-Apr-2013","18-Apr-2013","-","-"
"FEL","Future Enterprises Limited","EQ","Scheme Of Arrangement","2","17-Apr-2013","18-Apr-2013","-","-"
"SKFINDIA","SKF India Limited","EQ","Annual General Meeting/Dividend Rs 7.50 Per Share","10","18-Apr-2013","-","23-Apr-2013","30-Apr-2013"
"ESABINDIA","Esab India Limited","EQ","Annual General Meeting / Dividend Rs 7.50 Per Share","10","18-Apr-2013","-","23-Apr-2013","25-Apr-2013"
"GPPL","Gujarat Pipavav Port Limited","EQ","Annual General Meeting","10","18-Apr-2013","-","23-Apr-2013","02-May-2013"
"HUHTAMAKI","Huhtamaki India Limited","EQ","Annual General Meeting / Dividend Rs.2.60 Per Equity Share","2","22-Apr-2013","-","25-Apr-2013","07-May-2013"
"GLOBOFFS","Global Offshore Services Limited","EQ","Interim Dividend Re.0.80 Per Share","10","22-Apr-2013","23-Apr-2013","-","-"
